"1stRepresentative_ASV","Kingdom","Phylum","Class","Order","Family","Genus","Species","CommonName","Species.CommonName"
"ASV_1","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Brevoortia","Unknown Brevoortia (Genus)","Menhaden","Brevoortia sp. (Menhaden)"
"ASV_2","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Menidia","Menidia menidia","Atlantic silverside","Menidia menidia (Atlantic silverside)"
"ASV_3","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Anchoa mitchilli","Bay anchovy","Anchoa mitchilli (Bay anchovy)"
"ASV_4","Eukaryota","Chordata","Actinopteri","Scombriformes","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Unknown Scombriformes (Order)","Scombriformes","Scombriformes"
"ASV_5","Eukaryota","Chordata","Actinopteri","Lutjaniformes","Lutjanidae","Lutjanus","Lutjanus griseus","Grey snapper","Lutjanus griseus (Grey snapper)"
"ASV_6","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Paralichthyidae","Paralichthys","Unknown Paralichthys (Genus)","Large-tooth flounders","Paralichthys (Large-tooth flounders)"
"ASV_7","Eukaryota","Chordata","Actinopteri","Spariformes","Sparidae","Stenotomus","Stenotomus chrysops","Scup","Stenotomus chrysops (Scup)"
"ASV_8","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Leiostomus","Leiostomus xanthurus","Spot","Leiostomus xanthurus (Spot)"
"ASV_9","Eukaryota","Chordata","Actinopteri","Perciformes","Serranidae","Centropristis","Centropristis striata","Black seabass","Centropristis striata (Black seabass)"
"ASV_11","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Chilomycterus","Chilomycterus schoepfii","Striped burrfish","Chilomycterus schoepfii (Striped burrfish)"
"ASV_12","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Syngnathus","Syngnathus fuscus","Northern pipefish","Syngnathus fuscus (Northern pipefish)"
"ASV_13","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Unknown Pseudopleuronectes (Genus)","Righteye flounders","Pseudopleuronectes sp. (Righteye flounders)"
"ASV_14","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautoga","Tautoga onitis","Tautog","Tautoga onitis (Tautog)"
"ASV_15","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Menticirrhus","Menticirrhus saxatilis","Northern kingfish","Menticirrhus saxatilis (Northern kingfish)"
"ASV_18","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma bosc","Naked goby","Gobiosoma bosc (Naked goby)"
"ASV_19","Eukaryota","Chordata","Actinopteri","Moronidae__o","Moronidae","Morone","Morone saxatilis","Striped bass","Morone saxatilis (Striped bass)"
"ASV_20","Eukaryota","Chordata","Actinopteri","Gobiiformes","Gobiidae","Gobiosoma","Gobiosoma ginsburgi","Seaboard goby","Gobiosoma ginsburgi (Seaboard goby)"
"ASV_21","Eukaryota","Chordata","Actinopteri","Anguilliformes","Anguillidae","Anguilla","Anguilla rostrata","American eel","Anguilla rostrata (American eel)"
"ASV_23","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Alosa mediocris","Hickory shad","Alosa mediocris (Hickory shad)"
"ASV_24","Eukaryota","Chordata","Actinopteri","Clupeiformes","Clupeidae","Alosa","Unknown Alosa (Genus)","Shads","Alosa sp. (Shads)"
"ASV_26","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Tetraodontidae","Sphoeroides","Sphoeroides maculatus","Northern puffer","Sphoeroides maculatus (Northern puffer)"
"ASV_30","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Unknown Anchoa (Genus)","Anchovies (Anchoa)","Anchoa sp. (Anchovies)"
"ASV_31","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Fundulus heteroclitus","Mummichog","Fundulus heteroclitus (Mummichog)"
"ASV_32","Eukaryota","Chordata","Actinopteri","Batrachoidiformes","Batrachoididae","Opsanus","Opsanus tau","Oyster toadfish","Opsanus tau (Oyster toadfish)"
"ASV_33","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Fistulariidae","Fistularia","Fistularia tabacaria","Blue-spotted cornetfish","Fistularia tabacaria (Blue-spotted cornetfish)"
"ASV_35","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Fundulidae","Fundulus","Unknown Fundulus (Genus)","Fundulus sp.","Fundulus sp."
"ASV_39","Eukaryota","Chordata","Actinopteri","Labriformes","Labridae","Tautogolabrus","Tautogolabrus adspersus","Cunner","Tautogolabrus adspersus (Cunner)"
"ASV_48","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Achiridae","Trinectes","Trinectes maculatus","Hogchoker","Trinectes maculatus (Hogchoker)"
"ASV_57","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Unknown Peprilus (Genus)","Peprilus","Peprilus"
"ASV_58","Eukaryota","Chordata","Actinopteri","Sphyraenidae__o","Sphyraenidae","Sphyraena","Sphyraena borealis","Northern sennet","Sphyraena borealis (Northern sennet)"
"ASV_63","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Membras","Membras martinica","Rough silverside","Membras martinica (Rough silverside)"
"ASV_64","Eukaryota","Chordata","Actinopteri","Sciaenidae__o","Sciaenidae","Cynoscion","Cynoscion regalis","Weakfish","Cynoscion regalis (Weakfish)"
"ASV_81","Eukaryota","Chordata","Actinopteri","Scombriformes","Stromateidae","Peprilus","Peprilus triacanthus","American butterfish","Peprilus triacanthus (American butterfish)"
"ASV_82","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Cyclopsettidae","Etropus","Etropus microstomus","Smallmouth flounder","Etropus microstomus (Smallmouth flounder)"
"ASV_83","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil curema","White mullet","Mugil curema (White mullet)"
"ASV_90","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Thunnus","Thunnus obesus","Bigeye tuna","Thunnus obesus (Bigeye tuna)"
"ASV_112","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Cyprinodontidae","Cyprinodon","Cyprinodon variegatus","Sheepshead minnow","Cyprinodon variegatus (Sheepshead minnow)"
"ASV_121","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Auxis","Auxis rochei","Bullet tuna","Auxis rochei (Bullet tuna)"
"ASV_141","Eukaryota","Chordata","Actinopteri","Scombriformes","Scombridae","Unknown Scombridae (Family)","Unknown Scombridae (Family)","Scombrids","Scombridae (Scombrids)"
"ASV_147","Eukaryota","Chordata","Actinopteri","Mugiliformes","Mugilidae","Mugil","Mugil cephalus","Flathead grey mullet","Mugil cephalus (Flathead grey mullet)"
"ASV_157","Eukaryota","Chordata","Actinopteri","Clupeiformes","Engraulidae","Anchoa","Anchoa hepsetus","Broad-striped anchovy","Anchoa hepsetus (Broad-striped anchovy)"
"ASV_165","Eukaryota","Chordata","Actinopteri","Syngnathiformes","Syngnathidae","Hippocampus","Hippocampus erectus","Lined seahorse","Hippocampus erectus (Lined seahorse)"
"ASV_181","Eukaryota","Chordata","Actinopteri","Pleuronectiformes","Pleuronectidae","Pseudopleuronectes","Pseudopleuronectes americanus","Winter flounder","Pseudopleuronectes americanus (Winter flounder)"
"ASV_186","Eukaryota","Chordata","Actinopteri","Tetraodontiformes","Diodontidae","Chilomycterus","Unknown Chilomycterus (Genus)","Burrfish","Chilomycterus (Burrfish)"
"ASV_188","Eukaryota","Chordata","Actinopteri","Perciformes","Gasterosteidae","Apeltes","Apeltes quadracus","Stickleback","Apeltes quadracus (Stickleback)"
"ASV_189","Eukaryota","Chordata","Actinopteri","Chaetodontiformes","Chaetodontidae","Chaetodon","Chaetodon ocellatus","Spotfin butterflyfish","Chaetodon ocellatus (Spotfin butterflyfish)"
"ASV_211","Eukaryota","Chordata","Actinopteri","Carangiformes","Carangidae","Unknown Carangidae (Family)","Unknown Carangidae (Family)","Jacks and pompanos","Carangidae (Jacks and pompanos)"
"ASV_214","Eukaryota","Chordata","Actinopteri","Moronidae__o","Moronidae","Dicentrarchus","Dicentrarchus labrax","European seabass","Dicentrarchus labrax (European seabass)"
